# num_beams=16, num_ues=10, edge_mode=False
Beam 0: [-2.51, 9.01, 4.64, 26.89, -6.88, -6.88, -8.84, 7.32, 2.02, 4.16]
Beam 1: [-9.59, 9.40, 6.65, -5.75, 11.18, -6.33, -3.92, 0.50, -1.36, 7.10]
Beam 2: [2.24, -7.21, -4.16, -2.67, -0.88, 5.70, -6.01, 0.28, 1.85, 1.70]
Beam 3: [2.15, 11.16, -8.70, 8.98, 9.31, 6.17, -3.91, 6.40, 3.68, -1.20]
Beam 4: [14.58, 24.64, -9.31, 8.19, -4.82, 3.25, -3.77, 14.24, 0.93, -6.30]
Beam 5: [9.39, 5.50, 8.79, 7.90, 1.96, 8.44, -8.23, -6.08, 1.44, -3.49]
Beam 6: [-2.23, -4.57, 6.57, -2.86, -4.38, 11.09, -7.18, 6.04, -8.51, 9.74]
Beam 7: [5.44, -6.03, 13.43, 6.31, 4.14, 4.58, 5.43, -8.52, -2.83, 10.29]
Beam 8: [7.26, 2.47, -3.38, -8.73, -3.78, -3.50, 4.59, 2.75, 7.74, -0.56]
Beam 9: [-7.61, 4.26, 5.22, 1.23, 24.89, 23.60, 20.90, -1.45, -9.49, -7.84]
Beam 10: [-9.37, 2.73, -3.71, 10.44, 8.15, -5.01, 16.76, 5.11, 11.56, -8.46]
Beam 11: [11.03, 5.85, 8.59, 6.16, 2.67, 7.43, 6.07, -6.27, 7.85, 0.79]
Beam 12: [6.15, 7.92, -3.64, -7.80, -5.44, -1.46, 6.36, 7.21, -9.86, 0.21]
Beam 13: [-1.65, -5.56, -7.60, 9.39, 8.86, -3.54, 0.38, 4.06, 15.41, 9.44]
Beam 14: [9.25, -4.96, 22.71, -3.98, -4.30, 6.29, 2.19, 0.05, -8.97, -4.43]
Beam 15: [19.61, -5.21, -7.10, -0.21, 31.64, -5.16, 3.44, 21.53, -5.25, 4.56]
