# num_beams=16, num_ues=15, edge_mode=False
Beam 0: [-2.51, 9.01, 4.64, 1.97, -6.88, -6.88, -8.84, 7.32, 2.02, 4.16, -9.59, 9.40, 28.52, -5.75, 17.25]
Beam 1: [8.08, -3.92, 0.50, -1.36, 16.32, 2.24, -7.21, -4.16, -2.67, -0.88, 5.70, 17.43, 0.28, 1.85, -9.07]
Beam 2: [2.15, -6.59, -8.70, 8.98, 9.31, 6.17, -3.91, -8.05, 3.68, -1.20, -7.56, -0.10, -9.31, 8.19, -4.82]
Beam 3: [3.25, -3.77, 0.40, 19.80, -6.30, 9.39, 5.50, 8.79, 7.90, 16.74, 8.44, 14.17, -6.08, 13.46, -3.49]
Beam 4: [-2.23, 16.54, 6.57, 11.43, -4.38, 0.85, -7.18, 6.04, -8.51, 9.74, 5.44, -6.03, -9.89, 6.31, 4.14]
Beam 5: [4.58, 5.43, -8.52, -2.83, -7.68, 7.26, 2.47, 20.86, 7.09, 18.89, -3.50, 4.59, 2.75, 7.74, 12.99]
Beam 6: [15.19, 4.26, 5.22, 1.23, 5.42, -0.12, 0.45, -1.45, -9.49, -7.84, -9.37, 2.73, -3.71, 0.17, 8.15]
Beam 7: [-5.01, -1.79, 5.11, 5.03, -8.46, -4.20, -6.78, 31.89, 6.16, 2.67, 7.43, 6.07, 15.02, 30.85, 0.79]
Beam 8: [6.15, 7.92, -3.64, -7.80, -5.44, 21.08, 6.36, 7.21, -9.86, 0.21, -1.65, 9.24, -7.60, -3.25, 8.86]
Beam 9: [-3.54, 0.38, 4.06, -2.73, 9.44, 9.25, -4.96, -0.06, -3.98, -4.30, -9.26, 2.19, 20.14, -8.97, -4.43]
Beam 10: [8.17, -5.21, -7.10, -0.21, 9.71, 10.98, 3.44, 5.23, 13.38, 4.56, -2.64, 2.65, 2.67, 0.72, -8.19]
Beam 11: [6.71, -3.58, 13.48, -9.18, 1.82, 3.55, 8.82, 0.24, -5.47, 2.90, 18.34, 3.82, -2.27, 8.73, -7.25]
Beam 12: [-3.18, -7.73, 8.49, 7.55, -4.84, 3.20, 6.34, 1.10, 0.59, -5.16, -8.14, 7.94, 8.01, 2.66, -3.22]
Beam 13: [-3.02, 4.52, 7.94, 7.74, 21.77, 2.84, -8.32, -6.77, 7.97, 2.13, -9.82, -7.97, 3.27, -9.90, -6.78]
Beam 14: [0.97, 3.84, 3.04, -5.51, 4.24, -5.26, -3.49, 4.93, 22.64, 6.98, 25.25, 1.37, -8.13, -2.65, -4.70]
Beam 15: [-5.12, 32.62, 19.84, 7.84, 15.54, 26.34, 12.43, 1.54, -0.15, -6.10, 25.71, -4.38, -9.51, 2.91, 16.75]
