# num_beams=16, num_ues=20, edge_mode=False
Beam 0: [-2.51, 9.01, 4.64, 1.97, -6.88, -6.88, -8.84, 19.08, 2.02, 21.55, -9.59, 9.40, 21.95, -5.75, -6.36, -6.33, -3.92, 0.50, 13.86, -4.18]
Beam 1: [2.24, 6.70, -4.16, -2.67, -0.88, 5.70, -6.01, 0.28, 1.85, -9.07, 25.18, -6.59, -8.70, 8.98, 9.31, 6.17, -3.91, -8.05, 3.68, -1.20]
Beam 2: [-7.56, -0.10, -9.31, 8.19, 13.81, 3.25, -3.77, 0.40, 0.93, -6.30, 9.39, 5.50, 27.54, 7.90, 1.96, 8.44, -8.23, -6.08, -9.10, -3.49]
Beam 3: [-2.23, -4.57, 6.57, -2.86, -4.38, 18.30, -7.18, 6.04, 14.44, 9.74, 5.44, -6.03, -9.89, 6.31, 4.14, 4.58, 5.43, -8.52, 18.92, -7.68]
Beam 4: [7.26, 2.47, -3.38, 6.38, -3.78, -3.50, 4.59, 2.75, 21.24, -0.56, -7.61, 4.26, 5.22, 1.23, 5.42, -0.12, 0.45, -1.45, -9.49, -7.84]
Beam 5: [-9.37, 26.97, 15.94, 0.17, 8.15, -5.01, -1.79, 5.11, -5.42, -8.46, 9.15, -6.78, 8.59, 6.16, 2.67, 7.43, 27.43, -6.27, 7.85, 0.79]
Beam 6: [6.15, 7.92, -3.64, 12.43, 13.09, -1.46, 6.36, 7.21, -9.86, 0.21, -1.65, 19.38, -7.60, 20.86, 8.86, -3.54, 0.38, 4.06, -2.73, 9.44]
Beam 7: [9.25, 18.34, -0.06, -3.98, -4.30, -9.26, 2.19, 15.32, -8.97, 7.24, 8.17, -5.21, -7.10, -0.21, 9.71, -5.16, 14.15, 22.43, -5.25, 4.56]
Beam 8: [-2.64, 2.65, 2.67, 0.72, -8.19, 6.71, -3.58, -6.27, -9.18, 1.82, 3.55, -9.67, 0.24, -5.47, 2.90, -6.51, 3.82, -2.27, 8.73, -7.25]
Beam 9: [-3.18, -7.73, 8.49, 7.55, -4.84, 3.20, 20.74, 1.10, 0.59, -5.16, -8.14, 22.36, 8.01, 2.66, -3.22, 20.68, 4.52, 7.94, 7.74, 5.60]
Beam 10: [2.84, -8.32, 10.11, 7.97, 2.13, -9.82, -7.97, 3.27, 8.82, -6.78, 0.97, 3.84, 3.04, -5.51, 4.24, -5.26, -3.49, 4.93, 2.99, 22.20]
Beam 11: [18.28, 1.37, -8.13, -2.65, -4.70, -5.12, 9.46, -2.14, 7.84, 2.62, 5.90, 0.05, 1.54, -0.15, 9.56, 25.70, -4.38, -9.51, 2.91, -6.46]
Beam 12: [8.81, 9.08, 8.30, -2.60, -9.69, 26.58, -1.44, 9.33, 9.27, 7.06, -4.11, -2.30, 7.02, -3.66, -6.61, 1.14, 8.72, 3.92, 19.11, -8.06]
Beam 13: [2.30, 9.80, -7.20, 0.37, 7.55, 4.82, 3.94, 4.05, -2.81, -4.13, 6.19, 6.20, 7.34, 8.26, 0.23, 0.03, 5.97, 3.00, 4.04, 5.92]
Beam 14: [19.60, -3.24, -2.49, -8.12, 1.57, -9.28, -0.69, 0.85, -4.27, 1.82, 15.06, 4.00, 6.45, 13.45, 13.78, 0.44, 5.40, 10.62, 2.46, 11.02]
Beam 15: [2.41, 0.63, 0.81, 2.75, 4.52, 25.36, 17.05, -3.54, 5.90, -4.58, -1.22, -8.43, -9.49, 9.25, 6.72, 3.92, -1.82, -6.53, -6.87, -5.00]
