# num_beams=16, num_ues=25, edge_mode=False
Beam 0: [-2.51, 9.01, 4.64, 1.97, -6.88, -6.88, 10.86, 7.32, 2.02, 4.16, -9.59, 9.40, 21.87, -5.75, -6.36, -6.33, -3.92, 14.13, -1.36, -4.18, 2.24, -7.21, -4.16, -2.67, -0.88]
Beam 1: [30.06, 10.62, 0.28, 17.52, -9.07, 14.64, -6.59, 14.96, 8.98, 9.31, 6.17, -3.91, -8.05, 3.68, 18.82, -7.56, 15.46, -9.31, 8.19, -4.82, 26.70, -3.77, 0.40, 0.93, 7.23]
Beam 2: [9.39, 5.50, 29.38, 7.90, 1.96, 8.44, -8.23, 16.26, -9.10, -3.49, -2.23, -4.57, 6.57, -2.86, -4.38, 15.81, -7.18, 6.04, 11.22, 9.74, 5.44, -6.03, -9.89, 6.31, 4.14]
Beam 3: [4.58, 5.43, 2.70, -2.83, -7.68, 7.26, 2.47, -3.38, 6.92, -3.78, -3.50, 4.59, 24.51, 7.74, -0.56, -7.61, 4.26, 21.93, 1.23, 5.42, -0.12, 0.45, -1.45, -9.49, -7.84]
Beam 4: [-9.37, 2.73, -3.71, 0.17, 8.15, -5.01, -1.79, 5.11, -5.42, -8.46, -4.20, -6.78, 8.59, 6.16, 2.67, 7.43, 6.07, -6.27, 7.85, 0.79, 6.15, 32.44, -3.64, -7.80, -5.44]
Beam 5: [-1.46, 6.36, 7.21, -9.86, 0.21, -1.65, -5.56, -7.60, -3.25, 8.86, 17.82, 0.38, 4.06, -2.73, 9.44, 9.25, -4.96, -0.06, -3.98, -4.30, -9.26, 2.19, 0.05, -8.97, -4.43]
Beam 6: [28.32, -5.21, -7.10, -0.21, 9.71, -5.16, 3.44, 5.23, -5.25, 4.56, -2.64, 2.65, 2.67, 0.72, -8.19, 6.71, 13.68, -6.27, -9.18, 1.82, 3.55, -9.67, 0.24, -5.47, 2.90]
Beam 7: [-6.51, 14.68, -2.27, 8.73, -7.25, -3.18, -7.73, 32.74, 7.55, -4.84, 13.90, 23.55, 1.10, 0.59, -5.16, -8.14, 7.94, 8.01, 2.66, -3.22, -3.02, 4.52, 7.94, 7.74, 5.60]
Beam 8: [2.84, -8.32, -6.77, 7.97, 2.13, -9.82, -7.97, 3.27, -9.90, -6.78, 0.97, 3.84, 3.04, -5.51, 4.24, 6.68, -3.49, 4.93, 2.99, 6.98, 3.15, 1.37, 14.02, -2.65, -4.70]
Beam 9: [-5.12, 9.46, -2.14, 7.84, 2.62, 5.90, 0.05, 1.54, -0.15, 17.60, 4.45, -4.38, -9.51, 2.91, 6.13, 8.81, 9.08, 8.30, -2.60, -9.69, 27.21, -1.44, 9.33, 9.27, 26.57]
Beam 10: [-4.11, -2.30, 7.02, 16.91, 17.82, 1.14, 8.72, 3.92, 1.40, -8.06, 2.30, 9.80, -7.20, 15.58, 7.55, 4.82, 3.94, 4.05, 14.38, 11.21, 6.19, 6.20, 22.18, 8.26, 0.23]
Beam 11: [0.03, 5.97, 3.00, 4.04, 21.54, 21.05, -3.24, -2.49, -8.12, 22.81, -9.28, -0.69, 0.85, -4.27, 1.82, -9.39, -9.25, 6.45, -2.80, 17.34, 25.40, 26.06, -5.68, 26.45, -8.29]
Beam 12: [-8.97, 18.87, 0.81, 2.75, 4.52, 9.52, 16.15, -3.54, 5.90, -4.58, -1.22, -8.43, 8.22, 9.25, 6.72, 3.92, 17.45, -6.53, -6.87, 14.09, 0.98, 4.29, 28.05, -4.40, 9.10]
Beam 13: [4.76, 1.09, 2.23, -1.61, -5.05, -2.88, 5.16, -9.71, 13.57, -9.08, -9.19, 7.11, 4.07, -0.52, -8.04, -0.17, -0.53, -6.54, -1.32, -2.03, 2.32, 2.70, -9.09, 22.36, 2.52]
Beam 14: [0.06, 7.13, 3.17, -6.74, -8.59, 2.85, -9.47, 1.72, 8.80, 1.51, -2.24, 19.17, -0.83, 20.22, 8.83, -2.28, 9.22, 8.11, -6.08, -8.61, -7.98, -9.64, -8.11, 3.66, -8.58]
Beam 15: [-3.62, 6.90, -9.53, 6.29, -4.36, 3.49, 3.93, 2.58, 7.55, 4.70, 6.07, -4.36, -6.45, 5.01, 6.14, 9.81, -1.75, 15.43, 5.53, -3.18, 8.62, 7.17, -1.42, 5.02, 5.09]
