# num_beams=16, num_ues=30, edge_mode=False
Beam 0: [-2.51, 9.01, 4.64, 1.97, -6.88, 15.00, 9.48, 7.32, 26.62, 4.16, -9.59, 9.40, 6.65, -5.75, -6.36, -6.33, -3.92, 0.50, -1.36, -4.18, 2.24, -7.21, -4.16, 8.84, -0.88, 5.70, 4.49, 0.28, 1.85, -9.07]
Beam 1: [2.15, -6.59, -8.70, 8.98, 9.31, 6.17, -3.91, -8.05, 3.68, -1.20, 8.00, -0.10, -9.31, 8.19, -4.82, 3.25, 15.39, 0.40, 0.93, -6.30, 9.39, 16.01, 8.79, 7.90, 1.96, 24.13, -8.23, -6.08, 7.99, -3.49]
Beam 2: [-2.23, -4.57, 6.57, -2.86, -4.38, 0.85, -7.18, 6.04, -8.51, 9.74, 5.44, -6.03, 10.30, 6.31, 4.14, 4.58, 5.43, -8.52, -2.83, -7.68, 7.26, 2.47, 16.24, -8.73, 7.78, -3.50, 4.59, 2.75, 7.74, -0.56]
Beam 3: [-7.61, 4.26, 20.86, 21.60, 19.54, 11.20, 0.45, -1.45, -9.49, -7.84, -9.37, 19.44, -3.71, 0.17, 8.15, -5.01, -1.79, 5.11, -5.42, -8.46, -4.20, -6.78, 8.59, 6.16, 2.67, 7.43, 6.07, -6.27, 18.84, 0.79]
Beam 4: [6.15, 7.92, -3.64, -7.80, -5.44, 23.06, 6.36, 7.21, -9.86, 0.21, -1.65, -5.56, -7.60, -3.25, 8.86, -3.54, 0.38, 4.06, -2.73, 9.44, 9.25, -4.96, -0.06, -3.98, -4.30, -9.26, 2.19, 0.05, -8.97, -4.43]
Beam 5: [8.17, -5.21, -7.10, -0.21, 9.71, -5.16, 3.44, 5.23, 12.48, 4.56, -2.64, 2.65, 2.67, 0.72, -8.19, 6.71, -3.58, -6.27, -9.18, 1.82, 3.55, -9.67, 0.24, -5.47, 14.06, -6.51, 3.82, -2.27, 27.21, -7.25]
Beam 6: [-3.18, 12.54, 30.65, 7.55, -4.84, 3.20, 6.34, 1.10, 0.59, -5.16, 9.13, 7.94, 8.01, 21.22, -3.22, 19.30, 4.52, 7.94, 7.74, 27.85, 2.84, -8.32, 13.64, 7.97, 2.13, -9.82, -7.97, 3.27, -9.90, -6.78]
Beam 7: [12.58, 3.84, 3.04, 12.50, 4.24, -5.26, -3.49, 4.93, 2.99, 22.45, 3.15, 1.37, -8.13, -2.65, -4.70, -5.12, 28.18, -2.14, 7.84, 18.51, 5.90, 0.05, 1.54, -0.15, -6.10, 4.45, -4.38, -9.51, 2.91, -6.46]
Beam 8: [23.84, 9.08, 8.30, -2.60, 3.42, 8.57, -1.44, 9.33, 9.27, 7.06, -4.11, -2.30, 7.02, -3.66, -6.61, 1.14, 8.72, 25.32, 1.40, -8.06, 2.30, 9.80, -7.20, 0.37, 18.58, 25.98, 3.94, 4.05, -2.81, -4.13]
Beam 9: [6.19, 6.20, 7.34, 8.26, 0.23, 0.03, 17.33, 3.00, 4.04, 5.92, 7.80, -3.24, -2.49, 11.57, 25.02, -9.28, -0.69, 0.85, 18.36, 1.82, -9.39, 12.18, 6.45, -2.80, -7.46, 0.44, 5.40, 18.95, 2.46, 5.77]
Beam 10: [-8.97, 0.63, 0.81, 2.75, 4.52, 9.52, 0.33, 17.99, 5.90, -4.58, -1.22, -8.43, 9.41, 9.25, 6.72, 3.92, -1.82, -6.53, -6.87, -5.00, 25.08, 22.84, 3.20, -4.40, 9.10, 4.76, 1.09, 2.23, -1.61, 10.55]
Beam 11: [-2.88, 5.16, -9.71, -7.68, -9.08, -9.19, 7.11, 4.07, -0.52, -8.04, -0.17, -0.53, -6.54, -1.32, -2.03, 2.32, 2.70, 4.73, -2.51, 2.52, 0.06, 7.13, 3.17, -6.74, -8.59, 2.85, 9.34, 19.44, 8.80, 1.51]
Beam 12: [10.31, 2.87, -0.83, 0.91, 8.83, -2.28, 9.22, 19.10, -6.08, -8.61, -7.98, -9.64, -8.11, 3.66, 4.02, -3.62, 6.90, -9.53, 6.29, -4.36, -7.64, 3.93, 2.58, 7.55, 4.70, 6.07, -4.36, -6.45, 5.01, 6.14]
Beam 13: [9.81, 20.46, -2.56, 5.53, -3.18, 8.62, 7.17, -1.42, 5.02, 5.09, -7.94, 8.05, 0.11, 6.53, -3.60, 28.69, -2.22, 10.44, 8.11, -8.17, 8.14, 9.00, 9.01, 1.47, 2.64, -1.03, -4.14, 13.46, 3.45, 5.05]
Beam 14: [5.83, 5.79, -8.18, -0.11, -8.85, 0.99, -1.17, 7.75, 20.13, -7.66, -7.14, 5.23, 2.36, -7.98, -8.32, 4.02, 5.78, 6.44, 22.74, -8.37, 11.11, 9.73, -2.51, 9.50, 6.26, 8.94, 9.72, 5.07, -2.47, -8.33]
Beam 15: [5.54, 13.61, -1.52, 8.13, -7.78, -0.15, -9.77, -0.63, -8.87, 9.93, -7.65, 20.97, 4.92, 1.67, 9.24, -2.50, -4.29, 7.37, 15.59, 9.26, -9.76, 9.40, -9.14, 7.82, 0.55, 9.86, -8.52, 1.08, 9.39, 0.46]
