# num_beams=16, num_ues=35, edge_mode=False
Beam 0: [15.70, 9.01, 4.64, 1.97, -6.88, 6.76, -8.84, 7.32, 2.02, 4.16, -9.59, 9.40, 6.65, -5.75, 11.64, -6.33, 20.47, 0.50, -1.36, -4.18, 2.24, -7.21, -4.16, -2.67, -0.88, 5.70, 6.10, 0.28, 1.85, -9.07, 2.15, -6.59, -8.70, 8.98, 9.31]
Beam 1: [6.17, -3.91, 11.97, 3.68, 14.36, -7.56, -0.10, -9.31, 31.64, -4.82, 3.25, -3.77, 13.94, 0.93, -6.30, 9.39, 5.50, 8.79, 7.90, 1.96, 8.44, 13.02, -6.08, -9.10, -3.49, -2.23, -4.57, 6.57, -2.86, -4.38, 0.85, -7.18, 6.04, -8.51, 9.74]
Beam 2: [5.44, -6.03, -9.89, 21.26, 4.14, 4.58, 25.16, -8.52, -2.83, -7.68, 7.26, 2.47, -3.38, -8.73, -3.78, -3.50, 4.59, 2.75, 7.74, -0.56, -7.61, 4.26, 5.22, 1.23, 5.42, -0.12, 0.45, -1.45, -9.49, 4.92, -9.37, 19.25, -3.71, 0.17, 8.15]
Beam 3: [11.75, -1.79, 5.11, -5.42, -8.46, 12.51, -6.78, 8.59, 6.16, 2.67, 7.43, 6.07, -6.27, 7.85, 0.79, 6.15, 7.92, -3.64, -7.80, -5.44, -1.46, 6.36, 28.69, -9.86, 0.21, -1.65, -5.56, 12.65, -3.25, 8.86, -3.54, 0.38, 4.06, 21.43, 9.44]
Beam 4: [9.25, -4.96, -0.06, -3.98, -4.30, -9.26, 2.19, 0.05, -8.97, 20.09, 8.17, -5.21, -7.10, -0.21, 9.71, -5.16, 3.44, 15.58, -5.25, 4.56, -2.64, 2.65, 2.67, 14.05, -8.19, 6.71, -3.58, -6.27, -9.18, 1.82, 3.55, -9.67, 0.24, -5.47, 2.90]
Beam 5: [-6.51, 16.96, -2.27, 8.73, -7.25, -3.18, -7.73, 8.49, 7.55, -4.84, 3.20, 6.34, 1.10, 0.59, -5.16, -8.14, 23.08, 8.01, 2.66, 20.58, -3.02, 4.52, 7.94, 18.15, 5.60, 2.84, -8.32, 16.74, 7.97, 2.13, -9.82, -7.97, 3.27, -9.90, -6.78]
Beam 6: [0.97, 3.84, 3.04, -5.51, 21.51, -5.26, -3.49, 4.93, 2.99, 6.98, 3.15, 1.37, -8.13, -2.65, -4.70, -5.12, 9.46, -2.14, 7.84, 20.68, 19.20, 0.05, 18.99, -0.15, -6.10, 4.45, -4.38, -9.51, 16.86, -6.46, 8.81, 9.08, 8.30, -2.60, -9.69]
Beam 7: [8.57, -1.44, 9.33, 9.27, 7.06, -4.11, -2.30, 7.02, -3.66, -6.61, 1.14, 8.72, 3.92, 1.40, -8.06, 17.98, 9.80, -7.20, 0.37, 7.55, 4.82, 14.95, 4.05, -2.81, -4.13, 21.31, 6.20, 7.34, 22.26, 0.23, 0.03, 5.97, 19.69, 4.04, 28.85]
Beam 8: [7.80, -3.24, -2.49, 3.81, 1.57, -9.28, -0.69, 0.85, -4.27, 1.82, 12.76, -9.25, 6.45, -2.80, -7.46, 0.44, 5.40, 14.09, 2.46, -8.29, -8.97, 0.63, 0.81, 2.75, 4.52, 9.52, 0.33, -3.54, 5.90, -4.58, 9.25, -8.43, -9.49, 34.07, 23.83]
Beam 9: [3.92, -1.82, 6.05, -6.87, -5.00, 0.98, 4.29, 3.20, 14.24, 9.10, 4.76, 1.09, 21.74, -1.61, -5.05, 15.17, 5.16, -9.71, -7.68, -9.08, 4.98, 7.11, 4.07, -0.52, -8.04, -0.17, -0.53, 13.83, -1.32, -2.03, 2.32, 23.03, 15.16, -2.51, 2.52]
Beam 10: [0.06, 7.13, 3.17, -6.74, -8.59, 2.85, 7.72, 17.06, 8.80, 1.51, 12.60, 2.87, -0.83, 0.91, 8.83, -2.28, 9.22, 8.11, -6.08, -8.61, -7.98, -9.64, -8.11, 3.66, -8.58, -3.62, 29.92, -9.53, 6.29, 6.99, -7.64, 3.93, 2.58, 7.55, 4.70]
Beam 11: [6.07, -4.36, -6.45, 5.01, 6.14, 9.81, -1.75, 22.24, 30.49, 17.48, 8.62, 31.16, -1.42, 5.02, 5.09, -7.94, 30.45, 0.11, 18.40, -3.60, 7.91, -2.22, -9.78, 8.11, -8.17, -3.61, 9.00, 9.01, 1.47, 2.64, 12.90, -4.14, -3.43, 3.45, 5.05]
Beam 12: [5.83, 5.79, -8.18, -0.11, 10.42, 0.99, -1.17, 26.84, -2.98, -7.66, 17.71, 5.23, 2.36, -7.98, 15.09, 4.02, -8.54, 6.44, 27.94, -8.37, -8.30, 9.73, -2.51, -2.59, 19.33, 22.84, 9.72, 5.07, 9.63, -8.33, 5.54, 1.17, -1.52, 8.13, -7.78]
Beam 13: [-0.15, 9.54, -0.63, -8.87, -7.62, -7.65, 2.98, 4.92, 1.67, 9.24, -2.50, 20.58, 7.37, 9.80, 9.26, -9.76, 9.40, -9.14, 7.82, 0.55, 9.86, -8.52, 1.08, 22.85, 14.86, 2.59, 3.91, -0.91, 2.55, 23.25, 8.02, -9.09, -4.38, 19.60, 7.81]
Beam 14: [-0.89, 2.40, -4.45, -6.24, -0.73, -2.93, 1.67, -8.45, 9.49, 9.72, 3.96, 0.72, -3.81, 6.28, 23.00, -6.75, 8.22, 6.45, 9.00, 4.51, 23.98, -1.64, 8.65, 7.32, -9.10, -9.47, -2.47, 6.21, 9.75, -6.99, 1.88, -2.38, 9.40, 6.84, 6.77]
Beam 15: [-0.63, 13.51, -4.53, -8.87, 7.29, 24.25, 9.99, 9.93, 1.11, 5.38, 8.90, 6.99, -5.05, 17.67, -7.42, 20.62, 2.12, -5.43, 3.43, 2.36, -2.84, -7.73, 3.43, 0.41, 5.45, 0.40, 7.04, 1.04, 1.22, 7.53, -1.93, -7.32, -9.42, 5.10, 2.41]
