# num_beams=16, num_ues=40, edge_mode=False
Beam 0: [-2.51, 9.01, 20.61, 19.59, -6.88, -6.88, -8.84, 7.32, 20.02, 4.16, 14.80, 9.40, 6.65, -5.75, -6.36, -6.33, -3.92, 0.50, -1.36, -4.18, 14.34, -7.21, -4.16, -2.67, -0.88, 5.70, -6.01, 0.28, 1.85, -9.07, 17.41, -6.59, -8.70, 22.29, 9.31, 6.17, -3.91, -8.05, 3.68, -1.20]
Beam 1: [-7.56, -0.10, 15.23, 8.19, -4.82, 3.25, 9.77, 0.40, 0.93, -6.30, 9.39, 5.50, 8.79, 7.90, 1.96, 29.69, -8.23, -6.08, -9.10, -3.49, -2.23, -4.57, 6.57, -2.86, -4.38, 0.85, -7.18, 6.04, -8.51, 9.74, 5.44, 16.77, -9.89, 6.31, 4.14, 4.58, 5.43, -8.52, 21.59, -7.68]
Beam 2: [7.26, 2.47, -3.38, -8.73, -3.78, -3.50, 4.59, 2.75, 7.74, -0.56, -7.61, 4.26, 5.22, 1.23, 5.42, -0.12, 0.45, -1.45, -9.49, -7.84, -9.37, 2.73, -3.71, 12.94, 8.15, 11.51, -1.79, 5.11, -5.42, -8.46, -4.20, -6.78, 8.59, 6.16, 2.67, 7.43, 6.07, -6.27, 7.85, 0.79]
Beam 3: [6.15, 7.92, -3.64, -7.80, -5.44, -1.46, 6.36, 7.21, -9.86, 0.21, -1.65, -5.56, -7.60, -3.25, 8.86, -3.54, 21.86, 4.06, -2.73, 9.44, 9.25, 15.28, -0.06, -3.98, -4.30, -9.26, 2.19, 24.21, -8.97, -4.43, 33.13, -5.21, -7.10, -0.21, 9.71, -5.16, 3.44, 5.23, -5.25, 4.56]
Beam 4: [8.66, 2.65, 2.67, 0.72, -8.19, 6.71, -3.58, -6.27, -9.18, 1.82, 3.55, 0.68, 0.24, -5.47, 2.90, -6.51, 3.82, 11.06, 8.73, -7.25, -3.18, -7.73, 8.49, 7.55, -4.84, 3.20, 6.34, 1.10, 0.59, -5.16, -8.14, 7.94, 8.01, 2.66, -3.22, -3.02, 4.52, 7.94, 7.74, 5.60]
Beam 5: [2.84, -8.32, -6.77, 7.97, 2.13, -9.82, -7.97, 3.27, -9.90, -6.78, 16.11, 3.84, 3.04, 18.28, 4.24, -5.26, -3.49, 15.34, 2.99, 6.98, 3.15, 24.87, -8.13, -2.65, -4.70, -5.12, 9.46, -2.14, 7.84, 24.48, 5.90, 0.05, 20.37, -0.15, -6.10, 4.45, -4.38, 8.31, 2.91, -6.46]
Beam 6: [8.81, 9.08, 8.30, 11.04, -9.69, 8.57, -1.44, 9.33, 9.27, 7.06, -4.11, -2.30, 7.02, 14.40, 6.69, 1.14, 26.18, 3.92, 1.40, -8.06, 2.30, 9.80, 6.76, 0.37, 7.55, 4.82, 3.94, 4.05, -2.81, -4.13, 6.19, 6.20, 32.08, 8.26, 0.23, 0.03, 5.97, 26.02, 4.04, 5.92]
Beam 7: [7.80, -3.24, -2.49, -8.12, 12.88, -9.28, -0.69, 0.85, -4.27, 17.50, -9.39, -9.25, 6.45, -2.80, -7.46, 11.45, 5.40, -5.68, 2.46, 6.83, -8.97, 0.63, 14.81, 2.75, 4.52, 9.52, 17.02, -3.54, 28.83, -4.58, -1.22, -8.43, -9.49, 9.25, 6.72, 3.92, -1.82, -6.53, -6.87, 6.74]
Beam 8: [0.98, 4.29, 3.20, -4.40, 22.12, 4.76, 1.09, 2.23, -1.61, -5.05, -2.88, 24.93, -9.71, -7.68, -9.08, -9.19, 7.11, 4.07, -0.52, -8.04, -0.17, -0.53, -6.54, -1.32, 8.44, 2.32, 2.70, 15.72, 14.61, 2.52, 0.06, 7.13, 3.17, -6.74, -8.59, 2.85, -9.47, 1.72, 8.80, 17.16]
Beam 9: [-2.24, 2.87, 22.15, 0.91, 8.83, 18.69, 28.73, 8.11, -6.08, 9.43, -7.98, -9.64, -8.11, 3.66, 5.59, -3.62, 6.90, -9.53, 6.29, -4.36, -7.64, 24.30, 2.58, 7.55, 4.70, 26.40, 19.89, -6.45, 5.01, 6.14, 9.81, -1.75, -2.56, 5.53, -3.18, 31.95, 7.17, -1.42, 5.02, 5.09]
