# num_beams=16, num_ues=45, edge_mode=False
Beam 0: [-2.51, 9.01, 4.64, 1.97, 11.87, -6.88, -8.84, 7.32, 2.02, 4.16, -9.59, 9.40, 6.65, -5.75, 5.74, -6.33, -3.92, 0.50, -1.36, -4.18, 2.24, -7.21, -4.16, -2.67, 14.38, 5.70, -6.01, 13.59, 1.85, -9.07, 2.15, -6.59, -8.70, 8.98, 23.83, 6.17, -3.91, -8.05, 3.68, -1.20, -7.56, -0.10, -9.31, 26.08, 7.60]
Beam 1: [16.79, -3.77, 0.40, 0.93, -6.30, 9.39, 5.50, 8.79, 7.90, 23.21, 8.44, -8.23, -6.08, -9.10, -3.49, -2.23, -4.57, 6.57, -2.86, -4.38, 0.85, -7.18, 6.04, -8.51, 9.74, 28.24, -6.03, -9.89, 6.31, 4.14, 4.58, 5.43, 15.90, -2.83, -7.68, 7.26, 2.47, 10.07, -8.73, 12.72, -3.50, 4.59, 2.75, 7.74, 15.95]
Beam 2: [-7.61, 4.26, 5.22, 1.23, 5.42, -0.12, 0.45, -1.45, -9.49, -7.84, -9.37, 2.73, -3.71, 0.17, 8.15, -5.01, -1.79, 17.88, -5.42, 8.06, -4.20, -6.78, 8.59, 6.16, 2.67, 7.43, 6.07, -6.27, 7.85, 0.79, 6.15, 7.92, -3.64, -7.80, -5.44, -1.46, 6.36, 7.21, -9.86, 0.21, -1.65, 5.68, 16.44, -3.25, 8.86]
Beam 3: [-3.54, 23.97, 4.06, -2.73, 9.44, 9.25, -4.96, -0.06, -3.98, -4.30, 12.22, 2.19, 0.05, -8.97, -4.43, 28.41, -5.21, -7.10, -0.21, 9.71, -5.16, 27.60, 5.23, -5.25, 29.53, -2.64, 2.65, 2.67, 0.72, -8.19, 6.71, -3.58, -6.27, -9.18, 1.82, 3.55, -9.67, 0.24, 8.94, 2.90, -6.51, 3.82, -2.27, 8.73, -7.25]
Beam 4: [-3.18, -7.73, 8.49, 7.55, -4.84, 13.55, 6.34, 1.10, 0.59, -5.16, -8.14, 21.27, 8.01, 2.66, -3.22, -3.02, 4.52, 7.94, 7.74, 5.60, 2.84, -8.32, -6.77, 7.97, 2.13, -9.82, -7.97, 3.27, -9.90, -6.78, 0.97, 3.84, 3.04, -5.51, 4.24, -5.26, -3.49, 4.93, 2.99, 25.84, 3.15, 1.37, 2.35, -2.65, -4.70]
Beam 5: [-5.12, 9.46, -2.14, 7.84, 26.25, 5.90, 0.05, 25.34, -0.15, -6.10, 4.45, 6.02, -9.51, 2.91, -6.46, 32.32, 9.08, 8.30, -2.60, -9.69, 8.57, -1.44, 9.33, 31.13, 7.06, -4.11, 16.53, 7.02, -3.66, -6.61, 1.14, 26.54, 3.92, 1.40, -8.06, 2.30, 9.80, -7.20, 22.32, 7.55, 4.82, 3.94, 4.05, 18.16, -4.13]
Beam 6: [29.81, 6.20, 7.34, 8.26, 12.95, 0.03, 5.97, 21.06, 17.34, 5.92, 25.26, -3.24, -2.49, -8.12, 1.57, -9.28, 13.27, 0.85, -4.27, 1.82, -9.39, -9.25, 6.45, -2.80, -7.46, 0.44, 30.13, -5.68, 2.46, -8.29, -8.97, 23.65, 0.81, 2.75, 4.52, 9.52, 0.33, -3.54, 5.90, -4.58, 10.97, -8.43, -9.49, 9.25, 6.72]
Beam 7: [3.92, -1.82, -6.53, -6.87, -5.00, 0.98, 4.29, 3.20, -4.40, 20.10, 4.76, 1.09, 2.23, 13.52, -5.05, -2.88, 19.15, -9.71, -7.68, -9.08, 7.50, 7.11, 27.00, -0.52, -8.04, -0.17, -0.53, -6.54, -1.32, -2.03, 2.32, 2.70, -9.09, 9.23, 2.52, 0.06, 7.13, 3.17, -6.74, -8.59, 2.85, -9.47, 1.72, 8.80, 1.51]
Beam 8: [-2.24, 2.87, -0.83, 0.91, 8.83, -2.28, 9.22, 8.11, -6.08, -8.61, -7.98, -9.64, -8.11, 3.66, -8.58, -3.62, 6.90, -9.53, 16.76, -4.36, -7.64, 28.75, 19.69, 7.55, 4.70, 6.07, -4.36, -6.45, 5.01, 6.14, 9.81, -1.75, -2.56, 21.18, -3.18, 8.62, 7.17, -1.42, 5.02, 5.09, -7.94, 8.05, 0.11, 6.53, -3.60]
Beam 9: [27.42, 15.94, -9.78, 8.11, -8.17, -3.61, 9.00, 9.01, 15.63, 2.64, -1.03, -4.14, -3.43, 3.45, 5.05, 26.20, 5.79, -8.18, -0.11, 11.48, 25.24, -1.17, 7.75, -2.98, -7.66, -7.14, 5.23, 2.36, -7.98, 15.01, 4.02, -8.54, 6.44, 4.12, -8.37, -8.30, 9.73, 20.90, 7.68, 6.26, 8.94, 9.72, 5.07, -2.47, -8.33]
