# num_beams=16, num_ues=50, edge_mode=False
Beam 0: [-2.51, 9.01, 4.64, 1.97, -6.88, -6.88, -8.84, 7.32, 14.12, 4.16, -9.59, 9.40, 6.65, -5.75, -6.36, -6.33, -3.92, 0.50, 13.90, -4.18, 2.24, 6.10, -4.16, -2.67, -0.88, 5.70, -6.01, 0.28, 16.36, -9.07, 2.15, -6.59, -8.70, 8.98, 9.31, 6.17, -3.91, 9.85, 16.11, -1.20, -7.56, -0.10, -9.31, 21.92, -4.82, 3.25, 8.22, 0.40, 0.93, -6.30]
Beam 1: [24.37, 5.50, 8.79, 29.15, 1.96, 8.44, -8.23, -6.08, -9.10, -3.49, -2.23, -4.57, 6.57, -2.86, -4.38, 0.85, -7.18, 6.04, -8.51, 32.53, 5.44, -6.03, -9.89, 6.31, 4.14, 4.58, 29.85, -8.52, -2.83, -7.68, 7.26, 15.92, -3.38, 7.77, -3.78, -3.50, 4.59, 2.75, 24.25, 15.68, -7.61, 4.26, 5.22, 1.23, 23.79, -0.12, 0.45, -1.45, 2.11, -7.84]
Beam 2: [-9.37, 2.73, -3.71, 0.17, 8.15, -5.01, -1.79, 5.11, -5.42, -8.46, -4.20, 5.99, 8.59, 22.68, 2.67, 7.43, 6.07, -6.27, 7.85, 0.79, 6.15, 7.92, -3.64, -7.80, -5.44, -1.46, 6.36, 7.21, -9.86, 0.21, -1.65, -5.56, -7.60, -3.25, 8.86, 7.70, 24.42, 4.06, -2.73, 9.44, 9.25, -4.96, -0.06, -3.98, -4.30, -9.26, 2.19, 17.51, -8.97, -4.43]
Beam 3: [20.96, -5.21, -7.10, -0.21, 31.19, -5.16, 3.44, 5.23, -5.25, 24.81, -2.64, 2.65, 2.67, 0.72, -8.19, 30.87, -3.58, -6.27, 15.78, 1.82, 3.55, -9.67, 0.24, -5.47, 2.90, -6.51, 3.82, -2.27, 8.73, -7.25, -3.18, -7.73, 22.91, 7.55, -4.84, 3.20, 6.34, 1.10, 0.59, 19.25, -8.14, 7.94, 8.01, 2.66, -3.22, -3.02, 4.52, 28.19, 7.74, 5.60]
Beam 4: [2.84, -8.32, -6.77, 7.97, 2.13, 3.51, -7.97, 3.27, -9.90, -6.78, 0.97, 3.84, 3.04, -5.51, 4.24, -5.26, -3.49, 4.93, 2.99, 6.98, 3.15, 1.37, -8.13, -2.65, -4.70, -5.12, 9.46, -2.14, 7.84, 2.62, 5.90, 0.05, 1.54, 18.70, -6.10, 4.45, 6.09, -9.51, 2.91, -6.46, 8.81, 9.08, 8.30, -2.60, -9.69, 8.57, 10.72, 9.33, 9.27, 7.06]
Beam 5: [-4.11, 21.50, 7.02, -3.66, -6.61, 11.54, 8.72, 3.92, 1.40, 15.45, 2.30, 9.80, -7.20, 0.37, 7.55, 4.82, 3.94, 25.91, -2.81, -4.13, 25.02, 6.20, 7.34, 8.26, 0.23, 17.85, 5.97, 3.00, 4.04, 5.92, 7.80, -3.24, 19.46, -8.12, 1.57, -9.28, -0.69, 21.83, -4.27, 1.82, 9.70, -9.25, 6.45, -2.80, -7.46, 0.44, 5.40, -5.68, 22.33, -8.29]
Beam 6: [13.60, 18.69, 14.11, 2.75, 21.98, 9.52, 0.33, -3.54, 5.90, -4.58, 12.73, -8.43, -9.49, 9.25, 6.72, 3.92, -1.82, -6.53, -6.87, -5.00, 25.72, 4.29, 3.20, -4.40, 9.10, 27.78, 1.09, 2.23, -1.61, -5.05, -2.88, 5.16, -9.71, -7.68, 3.11, -9.19, 7.11, 4.07, -0.52, -8.04, -0.17, -0.53, -6.54, -1.32, 16.07, 2.32, 2.70, -9.09, 22.48, 25.69]
Beam 7: [0.06, 7.13, 3.17, 4.26, -8.59, 2.85, -9.47, 16.84, 8.80, 1.51, 11.76, 2.87, -0.83, 0.91, 25.52, -2.28, 32.15, 8.11, -6.08, -8.61, -7.98, -9.64, -8.11, 3.66, -8.58, -3.62, 6.90, 2.20, 6.29, -4.36, -7.64, 3.93, 2.58, 7.55, 4.70, 6.07, -4.36, -6.45, 5.01, 6.14, 9.81, -1.75, -2.56, 5.53, -3.18, 28.94, 7.17, -1.42, 5.02, 5.09]
Beam 8: [-7.94, 8.05, 0.11, 6.53, -3.60, 7.91, -2.22, -9.78, 8.11, -8.17, -3.61, 9.00, 19.48, 1.47, 2.64, 23.78, 12.98, -3.43, 3.45, 5.05, 5.83, 5.79, -8.18, -0.11, -8.85, 0.99, -1.17, 23.40, -2.98, -7.66, -7.14, 5.23, 2.36, -7.98, -8.32, 4.02, -8.54, 6.44, 4.12, -8.37, -8.30, 29.22, -2.51, 13.88, 6.26, 8.94, 9.72, 5.07, -2.47, -8.33]
Beam 9: [5.54, 1.17, 12.65, 8.13, -7.78, -0.15, -9.77, -0.63, -8.87, 12.74, -7.65, 2.98, 4.92, 21.99, 33.50, -2.50, -4.29, 7.37, -5.53, 9.26, -9.76, 9.40, -9.14, 31.15, 0.55, 9.86, -8.52, 1.08, 9.39, 0.46, 2.59, 27.33, 9.36, 2.55, 1.69, 8.02, -9.09, -4.38, 9.01, 7.81, -0.89, 2.40, 11.53, -6.24, -0.73, -2.93, 1.67, 15.72, 9.49, 9.72]
