Tablo 6.3: Farklı Kullanıcı Yoğunluklarındaki Ortalama Performans Değerleri

~15 UE (Düşük Yoğunluk)
Method,Feasible,Sum-Rate (bps/Hz),Jain,Users,Beams
HGA,TRUE,43.27,0.2647,14,8
PBIG,TRUE,43.97,0.2862,14,8
GA,TRUE,41.30,0.2518,14,8
Max-SINR,TRUE,23.43,0.3203,14,8

~30 UE (Orta Yoğunluk)
Method,Feasible,Sum-Rate (bps/Hz),Jain,Users,Beams
HGA,TRUE,113.17,0.2567,29,8
PBIG,TRUE,105.31,0.2630,29,8
GA,TRUE,98.94,0.2150,29,8
Max-SINR,TRUE,51.67,0.2987,29,8

~45 UE (Yüksek Yoğunluk)
Method,Feasible,Sum-Rate (bps/Hz),Jain,Users,Beams
HGA,TRUE,146.09,0.2241,44,8
PBIG,TRUE,138.98,0.2113,44,8
GA,TRUE,111.34,0.1499,44,8
Max-SINR,TRUE,69.14,0.3072,44,8
